date,title,description,category,location_name,latitude,longitude,source
2025-06-25T14:25:35Z,‘The Many Deaths Of Nora Dalmasso’ Director On His Real-Life Connection To The Series & How He Made The Netflix Doc: “My Job Was Not To Solve The Case”,EXCLUSIVE: The director of The Many Deaths of Nora Dalmasso tells Deadline about the remarkable real-life connection he had to a case that is the subject of his Netflix true-crime series. “I went to Argentina as an 18 year-old on my gap year trying to learn S…,murder,Netflix,40.7637635,-73.9743027,Deadline
2025-06-24T17:41:44Z,Karmelo Anthony indicted on first-degree murder charge for fatal stabbing at Texas high school track meet,"Anthony has been charged with the murder of Austin Metcalf at a track meet in Frisco, Texas. Karmelo Anthony, the",murder,Frisco,37.7792588,-122.4193286,Yahoo Entertainment
2025-06-24T20:46:50Z,"Texas teen Karmelo Anthony indicted on first-degree murder charge in stabbing death of Austin Metcalf, 17",Texas Teenager Karmelo Anthony has been charged with first-degree murder in connection with the stabbing death of a 17-year-old at a high school track meet in April.,murder,Austin,30.2711286,-97.7436995,New York Post
2025-06-25T13:47:26Z,Man guilty of murdering schoolboy with sword,Daniel Anjorin was attacked with a sword while he was on his way to school in east London.,murder,London,51.5074456,-0.1277653,BBC News
2025-06-25T09:04:04Z,Thousands rally in Kenya to mark anniversary of antitax demonstrations,Rights groups say at least 60 people were killed last year by security forces in protests against planned tax rises.,murder,Kenya,1.4419683,38.4313975,Al Jazeera English
2025-06-24T20:55:45Z,Karmelo Anthony Indicted On First Degree Murder Charges By Texas Jury For Alleged Fatal Stabbing Of Austin Metcalf,"Karmelo Anthony indicted on first-degree murder charges by a Collin County grand jury for allegedly fatally stabbing Austin Metcalf 
The post Karmelo Anthony Indicted On First Degree Murder Charges By Texas Jury For Alleged Fatal Stabbing Of Austin Metcalf ap…",murder,Collin County,33.1609629,-96.6060984,Bossip
2025-06-24T19:06:10Z,How This Mother’s Testimony Might Have Just Landed Her Own Son a Murder Case,"Detroit police are looking for evidence to charge Desmond Burks with a surgeon’s murder. 
The post How This Mother’s Testimony Might Have Just Landed Her Own Son a Murder Case appeared first on The Root.",murder,Detroit,42.3315509,-83.0466403,The Root
2025-06-24T17:01:54Z,Search ends at Clondalkin house in Annie McCarrick murder probe,"A search operation at a house in south Dublin at the centre of the probe into Annie McCarrick’s murder has now concluded, gardaí have confirmed.",murder,Dublin,53.3493795,-6.2605593,Independent.ie
2025-06-24T02:33:17Z,Madhya Pradesh flat owner held in Meghalaya murder case,India News: SHILLONG: Three more suspects arrested in Madhya Pradesh in connection with the murder of Raja Raghuvanshi are expected to be brought to Shillong for .,murder,Shillong,25.5760446,91.8825282,The Times of India
2025-06-25T04:02:29Z,Australia prepares for verdict in mushroom murder trial,"MORWELL, Australia (Reuters) -The trial of an Australian woman accused of murdering three of her estranged husband's elderly relatives using toxic mushrooms ...",murder,Australia,-24.7761086,134.755,Yahoo Entertainment
2025-06-25T09:43:45Z,Jury watches CCTV footage of fatal stabbing of man on Dublin street during murder trial,A Central Criminal Court jury has viewed CCTV footage of the moment a Dublin father of three was fatally stabbed in the neck following a series of drunken fights with his friend.,murder,Dublin,53.3493795,-6.2605593,Independent.ie
2025-06-25T14:43:59Z,Man who killed London schoolboy with samurai sword is convicted of murder,A man armed with a samurai sword who killed a teenager on his way to school and injured five other people in a London rampage has been convicted of murder,murder,London,51.5074456,-0.1277653,ABC News
2025-06-25T13:41:09Z,‘Roofman’ Trailer: Channing Tatum Is An Escaped Convict Hiding Out In A Toys ‘R’ Us In Derek Cianfrance’s Crime-Comedy,"Here’s your first trailer for Channing Tatum and Derek Cianfrance’s movie Roofman, which Paramount is opening for Miramax on Oct. 10, 2025. We first told you about the Tatum, Kirsten Dunst and Peter Dinklage movie which is based on the true story about a form…",robbery,Us,39.7837304,-100.445882,Deadline
2025-06-24T14:12:08Z,Joe Burrow and Olivia Ponton appear to confirm romance months after robbery revealed her at his house,NFL star was seen visiting the model in New York City for a night out on the town,robbery,New York City,40.7127281,-74.0060152,The-independent.com
2025-06-24T11:35:45Z,US marine jailed for seven years for sexual assault in Japan,"Jamel Clayton was given seven years, with a judge describing the physical attack as ""vicious"".",assault,Japan,36.5748441,139.2394179,BBC News
2025-06-24T09:41:10Z,"Masked Men Violently Assault Father Of 3 Marines, Thrust Him Into Unmarked Car","Father-of-three Marines, Narciso Barranco, 48, was violently beaten by seven or more masked men and forced into the back of an unmarked car during an apparent Immigration and Customs Enforcement (ICE) raid in Orange County, California. 
According to the GoFun…",assault,Orange County,33.750631,-117.8722311,Crooksandliars.com
2025-06-24T13:31:31Z,NBA star James Harden accused of negligence in sexual assault lawsuit against his nephew,LA Clippers star player James Harden has been accused of negligence in a lawsuit that claims a woman was raped by his nephew while she was unconscious after a New Year's Eve party at his Texas house last year,assault,Texas,31.2638905,-98.5456116,NBC News
2025-06-25T09:58:37Z,"Japanese court convicts a U.S. Marine in sexual assault, sentencing him to 7 years in prison","A Japanese court said Wednesday it had found a U.S. Marine guilty of sexually assaulting a woman on Okinawa, sentencing him to seven years in prison.",assault,U.S.,39.7837304,-100.445882,NBC News
2025-06-24T02:45:21Z,Iran struck at 'American strength and pride'. Its missiles were shot down,"Iran's response to a US assault on its nuclear sites arrived overnight, with the Islamic Republic striking at an American air base in Qatar. Here's how it unfolded.",assault,Qatar,25.3336984,51.2295295,ABC News (AU)
2025-06-25T04:03:44Z,US marine jailed for seven years for sexual assault in Japan,A court in Japan has sentenced a 22-year-old US marine to seven years in prison for sexually assaulting a woman in Okinawa in May last year. Anti-US base sentiment runs deep due due to multiple crimes committed by US military personnel.,assault,Japan,36.5748441,139.2394179,ABC News (AU)
2025-06-25T07:30:25Z,"Japanese court convicts a US Marine in sexual assault, sentencing him to 7 years in prison",,assault,US,39.7837304,-100.445882,Yahoo Entertainment
2025-06-24T23:18:38Z,"Israel Took Out At Least 14 Iranian Scientists In Assault On Nuclear Program, Official Says","Israel has killed at least 14 Iranian scientists, dealing a significant blow to Iran’s nuclear program, an official told The Associated Press (AP).",assault,Israel,30.8124247,34.8594762,The Daily Caller
